Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"March 21, 2019 - December 31, 2021"
Statement,Data,WhenGenerated,"2026-03-21, 20:57:20 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,121459.230410043
Summary,Data,Change,185076.18997499303
Summary,Data,Ending Cash,306535.42038503604
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount,Sub Type,Transaction Fees,Multiplier
Transaction History,Data,2021-11-08,U***638,AUY 20JAN23 5.0 C,Sell,AUY   230120C00005000,-1.0,0.55,USD,55.0,-1.4536305,53.5463695,-,-,100.0
Transaction History,Data,2021-11-08,U***638,PHG 21JAN22 50.0 C,Sell,PHG   220121C00050000,-1.0,1.1,USD,110.0,-0.223911,109.776089,-,-,100.0
Transaction History,Data,2021-11-08,U***638,WORKHORSE GROUP INC,Buy,WKHS,100.0,6.74,USD,-674.0,-1.0,-675.0,-,-,1.0
Transaction History,Data,2021-11-08,U***638,SLV 31DEC21 24.5 C,Buy,SLV   211231C00024500,2.0,0.37,USD,-74.0,-0.9427,-74.9427,-,-,100.0
Transaction History,Data,2021-11-08,U***638,SLV 31DEC21 24.0 C,Buy,SLV   211231C00024000,2.0,0.46,USD,-92.0,-2.2027,-94.2027,-,-,100.0
Transaction History,Data,2021-11-08,U***638,SLV 19NOV21 23.0 C,Sell,SLV   211119C00023000,-1.0,0.25,USD,25.0,-1.3934775,23.6065225,-,-,100.0
Transaction History,Data,2021-11-08,U***638,SLV 26NOV21 23.0 C,Sell,SLV   211126C00023000,-1.0,0.35,USD,35.0,-0.6035285,34.3964715,-,-,100.0
Transaction History,Data,2021-11-08,U***638,WKHS 23DEC21 7.0 C,Sell,WKHS  211223C00007000,-1.0,1.01,USD,101.0,-1.0138651,99.9861349,-,-,100.0
Transaction History,Data,2021-11-08,U***638,VODAFONE GROUP PLC-SP ADR,Sell,VOD,-100.0,15.27,USD,1527.0,-1.0196877,1525.9803123,-,-,1.0
Transaction History,Data,2021-11-08,U***2030,XOM 17DEC21 75.0 C,Sell,XOM   211217C00075000,-1.0,0.16,USD,16.0,-1.0134316,14.9865684,-,-,100.0
Transaction History,Data,2021-11-08,U***638,WKHS 17DEC21 10.0 C,Sell,WKHS  211217C00010000,-1.0,0.41,USD,41.0,-0.7235591,40.2764409,-,-,100.0
Transaction History,Data,2021-11-08,U***2030,LORDSTOWN MOTORS CORP-CL A,Buy,RIDE,100.0,5.97,USD,-597.0,-1.0,-598.0,-,-,1.0
Transaction History,Data,2021-11-08,U***2030,LORDSTOWN MOTORS CORP-CL A,Buy,RIDE,100.0,5.938,USD,-593.8,-1.0,-594.8,-,-,1.0
Transaction History,Data,2021-11-08,U***638,WORKHORSE GROUP INC,Buy,WKHS,100.0,6.74,USD,-674.0,-1.0,-675.0,-,-,1.0
Transaction History,Data,2021-11-08,U***638,XOM 23DEC21 70.0 C,Sell,XOM   211223C00070000,-1.0,0.73,USD,73.0,-1.0237223,71.9762777,-,-,100.0
Transaction History,Data,2021-11-08,U***638,PHG 14APR22 55.0 C,Sell,PHG   220414C00055000,-1.0,0.85,USD,85.0,-0.2237835,84.7762165,-,-,100.0
Transaction History,Data,2021-11-08,U***638,PHG 14APR22 50.0 C,Sell,PHG   220414C00050000,-1.0,2.3,USD,230.0,-1.024523,228.975477,-,-,100.0
Transaction History,Data,2021-11-08,U***638,AUY 23DEC21 4.5 C,Sell,AUY   211223C00004500,-1.0,0.12,USD,12.0,-0.6034112,11.3965888,-,-,100.0
Transaction History,Data,2021-11-08,U***2030,RIDE 23DEC21 7.5 C,Sell,RIDE  211223C00007500,-1.0,0.42,USD,42.0,-1.0135642,40.9864358,-,-,100.0
Transaction History,Data,2021-11-08,U***2030,RIDE 23DEC21 8.0 C,Sell,RIDE  211223C00008000,-1.0,0.36,USD,36.0,-1.0135336,34.9864664,-,-,100.0
Transaction History,Data,2021-11-08,U***638,PHG 14APR22 60.0 C,Sell,PHG   220414C00060000,-1.0,0.35,USD,35.0,-0.2235285,34.7764715,-,-,100.0
Transaction History,Data,2021-11-08,U***638,AUY 23DEC21 5.0 C,Sell,AUY   211223C00005000,-1.0,0.06,USD,6.0,-1.0233806,4.9766194,-,-,100.0
Transaction History,Data,2021-11-08,U***638,AUY 21JAN22 5.0 C,Sell,AUY   220121C00005000,-1.0,0.11,USD,11.0,-1.0234061,9.9765939,-,-,100.0
Transaction History,Data,2021-11-04,U***2030,WKHS 17DEC21 7.0 P,Sell,WKHS  211217P00007000,-1.0,1.07,USD,107.0,-0.6038957,106.3961043,-,-,100.0
Transaction History,Data,2021-11-04,U***2030,WORKHORSE GROUP INC,Buy,WKHS,100.0,7.228,USD,-722.8,-1.0,-723.8,-,-,1.0
Transaction History,Data,2021-11-04,U***2030,WKHS 17DEC21 8.0 C,Sell,WKHS  211217C00008000,-1.0,0.92,USD,92.0,-1.0138192,90.9861808,-,-,100.0
Transaction History,Data,2021-11-03,U***132,XOM 18MAR22 62.5 C,Sell,XOM   220318C00062500,-1.0,4.2,USD,420.0,-0.675492,419.324508,-,-,100.0
Transaction History,Data,2021-11-03,U***132,XOM 19NOV21 60.0 C,Buy,XOM   211119C00060000,1.0,4.22,USD,-422.0,-0.67135,-422.67135,-,-,100.0
Transaction History,Data,2021-11-02,U***638,WMT 17DEC21 130.0 P,Buy,WMT   211217P00130000,1.0,0.42,USD,-42.0,-0.72135,-42.72135,-,-,100.0
Transaction History,Data,2021-11-02,U***638,F 18MAR22 18.0 C,Sell,F     220318C00018000,-1.0,1.75,USD,175.0,-0.6042425,174.3957575,-,-,100.0
Transaction History,Data,2021-11-02,U***638,FORD MOTOR CO,Buy,F,100.0,18.01,USD,-1801.0,-1.0,-1802.0,-,-,1.0
Transaction History,Data,2021-11-02,U***2030,F 18MAR22 20.0 C,Sell,F     220318C00020000,-1.0,1.12,USD,112.0,-0.8239212,111.1760788,-,-,100.0
Transaction History,Data,2021-11-02,U***2030,F 18MAR22 19.0 C,Sell,F     220318C00019000,-1.0,1.42,USD,142.0,-0.6040742,141.3959258,-,-,100.0
Transaction History,Data,2021-11-02,U***2030,F 17DEC21 20.0 C,Sell,F     211217C00020000,-1.0,0.44,USD,44.0,-1.4535744,42.5464256,-,-,100.0
Transaction History,Data,2021-11-02,U***2030,F 21JAN22 20.0 C,Sell,F     220121C00020000,-1.0,0.71,USD,71.0,-0.6037121,70.3962879,-,-,100.0
Transaction History,Data,2021-11-02,U***638,K*****70:OPRA NP L1 for Nov 2021,Other Fee,-,-,-,-,-1.5,-,-1.5,-,-,1.0
Transaction History,Data,2021-11-01,U***638,ESTC 17DEC21 165.0 C,Sell,ESTC  211217C00165000,-1.0,17.45,USD,1745.0,-0.2822495,1744.7177505,-,-,100.0
Transaction History,Data,2021-11-01,U***638,ESTC 19NOV21 165.0 C,Buy,ESTC  211119C00165000,1.0,12.23,USD,-1223.0,-0.27135,-1223.27135,-,-,100.0
Transaction History,Data,2021-10-26,U***638,ORCL(US68389X1054) Cash Dividend USD 0.32 per Share (Ordinary Dividend),Dividend,ORCL,-,-,-,96.0,-,96.0,-,-,1.0
Transaction History,Data,2021-10-26,U***2030,ORCL(US68389X1054) Cash Dividend USD 0.32 per Share (Ordinary Dividend),Dividend,ORCL,-,-,-,64.0,-,64.0,-,-,1.0
Transaction History,Data,2021-10-26,U***132,ORCL(US68389X1054) Cash Dividend USD 0.32 per Share (Ordinary Dividend),Dividend,ORCL,-,-,-,128.0,-,128.0,-,-,1.0
Transaction History,Data,2021-10-15,U***2030,Sell -100 DROPBOX INC-CLASS A (Assignment),Assignment,DBX,-100.0,24.0,USD,2400.0,-0.02414,2399.97586,-,-,1.0
Transaction History,Data,2021-10-15,U***2030,Sell -100 DROPBOX INC-CLASS A (Assignment),Assignment,DBX,-100.0,25.0,USD,2500.0,-0.02465,2499.97535,-,-,1.0
Transaction History,Data,2021-10-14,U***638,AUY(CA98462Y1007) Cash Dividend USD 0.03 per Share (Ordinary Dividend),Dividend,AUY,-,-,-,57.0,-,57.0,-,-,1.0
Transaction History,Data,2021-10-14,U***638,AUY(CA98462Y1007) Cash Dividend USD 0.03 per Share - CA Tax,Foreign Tax Withholding,AUY,-,-,-,-8.55,-,-8.55,-,-,1.0
Transaction History,Data,2021-10-14,U***132,AUY(CA98462Y1007) Cash Dividend USD 0.03 per Share (Ordinary Dividend),Dividend,AUY,-,-,-,33.0,-,33.0,-,-,1.0
Transaction History,Data,2021-10-08,U***638,XOM 19NOV21 62.5 P,Buy,XOM   211119P00062500,1.0,2.99,USD,-299.0,-1.04235,-300.04235,-,-,100.0
Transaction History,Data,2021-10-04,U***638,K*****70:OPRA NP L1 for Sep 2021,Other Fee,-,-,-,-,1.5,-,1.5,-,-,1.0
Transaction History,Data,2021-10-04,U***638,K*****70:US Consolidated Snapshot for Sep 2021,Other Fee,-,-,-,-,-0.08,-,-0.08,-,-,1.0
Transaction History,Data,2021-10-04,U***638,K*****70:US Consolidated Snapshot for Sep 2021,Other Fee,-,-,-,-,0.08,-,0.08,-,-,1.0
Transaction History,Data,2021-10-04,U***638,K*****70:OPRA NP L1 for Oct 2021,Other Fee,-,-,-,-,-1.5,-,-1.5,-,-,1.0
Transaction History,Data,2021-09-30,U***2030,XOM 15OCT21 70.0 C,Buy,XOM   211015C00070000,2.0,0.02,USD,-4.0,-1.1043,-5.1043,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,AMD 18MAR22 87.5 C,Sell,AMD   220318C00087500,-1.0,21.75,USD,2175.0,-0.7152425,2174.2847575,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,AMD 15OCT21 85.0 C,Buy,AMD   211015C00085000,1.0,19.92,USD,-1992.0,-0.70215,-1992.70215,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,F 15OCT21 15.0 C,Buy,F     211015C00015000,1.0,0.2,USD,-20.0,-1.48215,-21.48215,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,F 17DEC21 16.0 C,Sell,F     211217C00016000,-1.0,0.45,USD,45.0,-0.6343795,44.3656205,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,F 17DEC21 17.0 C,Sell,F     211217C00017000,-1.0,0.26,USD,26.0,-0.8542826,25.1457174,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,XOM 14APR22 65.0 C,Sell,XOM   220414C00065000,-1.0,2.66,USD,266.0,-0.6355066,265.3644934,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,XOM 15OCT21 57.5 C,Buy,XOM   211015C00057500,1.0,3.45,USD,-345.0,-0.63215,-345.63215,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,XOM 15OCT21 62.5 C,Buy,XOM   211015C00062500,1.0,0.62,USD,-62.0,-0.63215,-62.63215,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,XOM 17DEC21 62.5 C,Sell,XOM   211217C00062500,-1.0,1.98,USD,198.0,-0.7551598,197.2448402,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,XOM 15OCT21 57.5 C,Buy,XOM   211015C00057500,1.0,3.4,USD,-340.0,-0.75215,-340.75215,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,XOM 21JAN22 62.5 C,Sell,XOM   220121C00062500,-1.0,2.53,USD,253.0,-1.0554403,251.9445597,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,XOM 15OCT21 65.0 C,Buy,XOM   211015C00065000,1.0,0.18,USD,-18.0,-0.85215,-18.85215,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,XOM 19NOV21 65.0 C,Buy,XOM   211119C00065000,1.0,0.79,USD,-79.0,-0.63215,-79.63215,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,F 15OCT21 14.0 C,Buy,F     211015C00014000,1.0,0.62,USD,-62.0,-1.05215,-63.05215,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,F 17DEC21 14.0 C,Sell,F     211217C00014000,-1.0,1.19,USD,119.0,-1.0547569,117.9452431,-,-,100.0
Transaction History,Data,2021-09-28,U***638,F 18MAR22 13.0 C,Sell,F     220318C00013000,-1.0,2.2,USD,220.0,-1.045272,218.954728,-,-,100.0
Transaction History,Data,2021-09-28,U***638,F 15OCT21 12.0 C,Buy,F     211015C00012000,1.0,2.27,USD,-227.0,-0.63215,-227.63215,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,XOM 18MAR22 70.0 C,Sell,XOM   220318C00070000,-1.0,1.22,USD,122.0,-1.0547722,120.9452278,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,XOM 17DEC21 70.0 C,Sell,XOM   211217C00070000,-1.0,0.45,USD,45.0,-1.0543795,43.9456205,-,-,100.0
Transaction History,Data,2021-09-28,U***638,DIEBOLD NIXDORF INC,Sell,DBD,-100.0,10.33,USD,1033.0,-1.0171683,1031.9828317,-,-,1.0
Transaction History,Data,2021-09-28,U***638,AMD 21JAN22 90.0 C,Buy,AMD   220121C00090000,1.0,17.91,USD,-1791.0,-0.75215,-1791.75215,-,-,100.0
Transaction History,Data,2021-09-28,U***638,ADVANCED MICRO DEVICES,Sell,AMD,-1.0,104.33,USD,104.33,-1.000651083,103.329348917,-,-,1.0
Transaction History,Data,2021-09-28,U***638,ADVANCED MICRO DEVICES,Sell,AMD,-99.0,104.33,USD,10328.67,-0.064457217,10328.605542783,-,-,1.0
Transaction History,Data,2021-09-28,U***638,LORDSTOWN MOTORS CORP-CL A,Buy,RIDE,88.0,7.79,USD,-685.52,-1.0,-686.52,-,-,1.0
Transaction History,Data,2021-09-28,U***638,LORDSTOWN MOTORS CORP-CL A,Buy,RIDE,12.0,7.79,USD,-93.48,-,-93.48,-,-,1.0
Transaction History,Data,2021-09-28,U***638,WMT 17DEC21 130.0 P,Sell,WMT   211217P00130000,-1.0,1.74,USD,174.0,-0.6350374,173.3649626,-,-,100.0
Transaction History,Data,2021-09-28,U***638,XOM 19NOV21 65.0 C,Sell,XOM   211119C00065000,-1.0,0.86,USD,86.0,-1.0545886,84.9454114,-,-,100.0
Transaction History,Data,2021-09-28,U***638,XOM 17DEC21 65.0 C,Sell,XOM   211217C00065000,-1.0,1.29,USD,129.0,-1.0548079,127.9451921,-,-,100.0
Transaction History,Data,2021-09-28,U***638,XOM 17DEC21 67.5 C,Sell,XOM   211217C00067500,-1.0,0.78,USD,78.0,-0.6345478,77.3654522,-,-,100.0
Transaction History,Data,2021-09-28,U***638,XOM 19NOV21 67.5 C,Sell,XOM   211119C00067500,-1.0,0.46,USD,46.0,-0.6343846,45.3656154,-,-,100.0
Transaction History,Data,2021-09-28,U***638,F 17DEC21 15.0 C,Sell,F     211217C00015000,-1.0,0.83,USD,83.0,-1.0545733,81.9454267,-,-,100.0
Transaction History,Data,2021-09-28,U***638,F 17DEC21 16.0 C,Sell,F     211217C00016000,-1.0,0.5,USD,50.0,-0.854405,49.145595,-,-,100.0
Transaction History,Data,2021-09-28,U***638,F 19NOV21 15.0 C,Sell,F     211119C00015000,-1.0,0.65,USD,65.0,-0.8544815,64.1455185,-,-,100.0
Transaction History,Data,2021-09-28,U***638,XOM 17DEC21 70.0 C,Sell,XOM   211217C00070000,-1.0,0.47,USD,47.0,-1.0543897,45.9456103,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,F 19NOV21 15.0 C,Sell,F     211119C00015000,-1.0,0.65,USD,65.0,-0.6344815,64.3655185,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,F 18MAR22 18.0 C,Sell,F     220318C00018000,-1.0,0.51,USD,51.0,-0.8544101,50.1455899,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,F 17DEC21 18.0 C,Sell,F     211217C00018000,-1.0,0.18,USD,18.0,-1.4842418,16.5157582,-,-,100.0
Transaction History,Data,2021-09-28,U***2030,F 17DEC21 15.0 C,Buy,F     211217C00015000,1.0,0.83,USD,-83.0,-1.04215,-84.04215,-,-,100.0
Transaction History,Data,2021-09-28,U***638,Disbursement Initiated by Kenneth I Macpherson,Withdrawal,-,-,-,-,-6000.0,-,-6000.0,-,-,1.0
Transaction History,Data,2021-09-28,U***638,RACKSPACE TECHNOLOGY INC,Buy,RXT,100.0,14.04,USD,-1404.0,-1.0,-1405.0,-,-,1.0
Transaction History,Data,2021-09-28,U***2030,F 19NOV21 14.0 C,Sell,F     211119C00014000,-1.0,1.13,USD,113.0,-1.0447263,111.9552737,-,-,100.0
Transaction History,Data,2021-09-28,U***638,XOM 17DEC21 75.0 C,Sell,XOM   211217C00075000,-1.0,0.18,USD,18.0,-1.0542418,16.9457582,-,-,100.0
Transaction History,Data,2021-09-28,U***638,XOM 19NOV21 72.5 C,Sell,XOM   211119C00072500,-1.0,0.14,USD,14.0,-1.0542214,12.9457786,-,-,100.0
Transaction History,Data,2021-09-17,U***638,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,10.0,USD,1000.0,-0.017,999.983,-,-,1.0
Transaction History,Data,2021-09-17,U***132,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,10.0,USD,1000.0,-0.017,999.983,-,-,1.0
Transaction History,Data,2021-09-17,U***638,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,9.0,USD,900.0,-0.01649,899.98351,-,-,1.0
Transaction History,Data,2021-09-17,U***2030,Sell -100 ADVANCED MICRO DEVICES (Assignment),Assignment,AMD,-100.0,60.0,USD,6000.0,-0.0425,5999.9575,-,-,1.0
Transaction History,Data,2021-09-16,U***638,XOM 17SEP21 62.5 P,Buy,XOM   210917P00062500,1.0,6.76,USD,-676.0,-0.70215,-676.70215,-,-,100.0
Transaction History,Data,2021-09-16,U***638,XOM 19NOV21 62.5 P,Sell,XOM   211119P00062500,-1.0,8.08,USD,808.0,-0.7082708,807.2917292,-,-,100.0
Transaction History,Data,2021-09-16,U***638,ESTC 19NOV21 165.0 C,Sell,ESTC  211119C00165000,-1.0,9.4,USD,940.0,-0.258944,939.741056,-,-,100.0
Transaction History,Data,2021-09-16,U***638,F 17DEC21 13.0 C,Sell,F     211217C00013000,-1.0,1.09,USD,109.0,-1.0447059,107.9552941,-,-,100.0
Transaction History,Data,2021-09-14,U***132,ORCL 17SEP21 67.5 C,Buy,ORCL  210917C00067500,1.0,18.54,USD,-1854.0,-0.70215,-1854.70215,-,-,100.0
Transaction History,Data,2021-09-14,U***132,ORCL 18MAR22 70.0 C,Sell,ORCL  220318C00070000,-1.0,17.46,USD,1746.0,-0.7130546,1745.2869454,-,-,100.0
Transaction History,Data,2021-09-10,U***132,F 17SEP21 9.0 C,Buy,F     210917C00009000,1.0,3.9,USD,-390.0,-0.70215,-390.70215,-,-,100.0
Transaction History,Data,2021-09-10,U***132,F 16SEP22 10.0 C,Sell,F     220916C00010000,-1.0,3.74,USD,374.0,-0.7060574,373.2939426,-,-,100.0
Transaction History,Data,2021-09-10,U***638,XOM(US30231G1022) Cash Dividend USD 0.87 per Share (Ordinary Dividend),Dividend,XOM,-,-,-,1218.0,-,1218.0,-,-,1.0
Transaction History,Data,2021-09-10,U***2030,XOM(US30231G1022) Cash Dividend USD 0.87 per Share (Ordinary Dividend),Dividend,XOM,-,-,-,2523.0,-,2523.0,-,-,1.0
Transaction History,Data,2021-09-10,U***132,XOM(US30231G1022) Cash Dividend USD 0.87 per Share (Ordinary Dividend),Dividend,XOM,-,-,-,348.0,-,348.0,-,-,1.0
Transaction History,Data,2021-09-08,U***132,SLV 17DEC21 23.0 C,Buy,SLV   211217C00023000,1.0,0.98,USD,-98.0,-1.55215,-99.55215,-,-,100.0
Transaction History,Data,2021-09-08,U***638,AMD 17SEP21 77.5 C,Buy,AMD   210917C00077500,1.0,31.18,USD,-3118.0,-0.70215,-3118.70215,-,-,100.0
Transaction History,Data,2021-09-08,U***638,AMD 18MAR22 80.0 C,Sell,AMD   220318C00080000,-1.0,31.39,USD,3139.0,-0.7201589,3138.2798411,-,-,100.0
Transaction History,Data,2021-09-08,U***2030,F 17SEP21 10.0 C,Buy,F     210917C00010000,1.0,2.94,USD,-294.0,-0.70215,-294.70215,-,-,100.0
Transaction History,Data,2021-09-08,U***2030,F 18MAR22 10.0 C,Sell,F     220318C00010000,-1.0,3.36,USD,336.0,-0.7058636,335.2941364,-,-,100.0
Transaction History,Data,2021-09-07,U***638,AMD 16SEP22 90.0 C,Sell,AMD   220916C00090000,-1.0,28.69,USD,2869.0,-0.7187819,2868.2812181,-,-,100.0
Transaction History,Data,2021-09-07,U***638,AMD 17SEP21 80.0 C,Buy,AMD   210917C00080000,1.0,29.53,USD,-2953.0,-0.70215,-2953.70215,-,-,100.0
Transaction History,Data,2021-09-07,U***132,AMD 16SEP22 90.0 C,Sell,AMD   220916C00090000,-1.0,28.65,USD,2865.0,-0.7187615,2864.2812385,-,-,100.0
Transaction History,Data,2021-09-07,U***132,AMD 17SEP21 82.5 C,Buy,AMD   210917C00082500,1.0,26.95,USD,-2695.0,-0.70215,-2695.70215,-,-,100.0
Transaction History,Data,2021-09-07,U***2030,F 17SEP21 11.0 C,Buy,F     210917C00011000,2.0,1.91,USD,-382.0,-0.5643,-382.5643,-,-,100.0
Transaction History,Data,2021-09-07,U***2030,F 17SEP21 12.0 C,Buy,F     210917C00012000,1.0,0.94,USD,-94.0,-1.04215,-95.04215,-,-,100.0
Transaction History,Data,2021-09-07,U***132,SLV 30SEP21 20.0 C,Buy,SLV   210930C00020000,1.0,2.52,USD,-252.0,-1.55215,-253.55215,-,-,100.0
Transaction History,Data,2021-09-07,U***2030,F 17SEP21 12.0 C,Buy,F     210917C00012000,1.0,0.91,USD,-91.0,-0.70215,-91.70215,-,-,100.0
Transaction History,Data,2021-09-07,U***2030,F 18MAR22 12.0 C,Sell,F     220318C00012000,-1.0,1.88,USD,188.0,-0.7051088,187.2948912,-,-,100.0
Transaction History,Data,2021-09-07,U***2030,AMD 16SEP22 110.0 C,Sell,AMD   220916C00110000,-1.0,18.33,USD,1833.0,-0.7134983,1832.2865017,-,-,100.0
Transaction History,Data,2021-09-07,U***2030,AMD 17SEP21 92.5 C,Buy,AMD   210917C00092500,1.0,16.82,USD,-1682.0,-0.70215,-1682.70215,-,-,100.0
Transaction History,Data,2021-09-03,U***638,K*****70:OPRA NP L1 for Sep 2021,Other Fee,-,-,-,-,-1.5,-,-1.5,-,-,1.0
Transaction History,Data,2021-09-03,U***2030,Sell -100 DROPBOX INC-CLASS A (Assignment),Assignment,DBX,-100.0,30.0,USD,3000.0,-0.0272,2999.9728,-,-,1.0
Transaction History,Data,2021-08-20,U***638,Buy 100 YAMANA GOLD INC (Assignment),Assignment,AUY,100.0,5.0,USD,-500.0,-,-500.0,-,-,1.0
Transaction History,Data,2021-08-20,U***638,Sell -100 YAMANA GOLD INC (Assignment),Assignment,AUY,-100.0,4.0,USD,400.0,-0.01394,399.98606,-,-,1.0
Transaction History,Data,2021-08-17,U***2030,DBX 20AUG21 30.0 C,Buy,DBX   210820C00030000,1.0,1.01,USD,-101.0,-0.703,-101.703,-,-,100.0
Transaction History,Data,2021-08-17,U***2030,DBX 03SEP21 30.0 C,Sell,DBX   210903C00030000,-1.0,1.3,USD,130.0,-0.705663,129.294337,-,-,100.0
Transaction History,Data,2021-08-13,U***2030,Buy 100 EXXON MOBIL CORP (Assignment),Assignment,XOM,100.0,65.0,USD,-6500.0,-,-6500.0,-,-,1.0
Transaction History,Data,2021-08-06,U***638,SLV 30SEP21 22.0 C,Buy,SLV   210930C00022000,1.0,1.23,USD,-123.0,-1.523,-124.523,-,-,100.0
Transaction History,Data,2021-08-06,U***638,SLV 15OCT21 22.5 C,Sell,SLV   211015C00022500,-1.0,1.06,USD,106.0,-1.5255406,104.4744594,-,-,100.0
Transaction History,Data,2021-08-06,U***638,VOD(US92857W3088) Cash Dividend USD 0.532412 per Share (Ordinary Dividend),Dividend,VOD,-,-,-,53.24,-,53.24,-,-,1.0
Transaction History,Data,2021-08-06,U***638,VOD(US92857W3088) Cash Dividend USD 0.532412 per Share - FEE,Other Fee,VOD,-,-,-,-1.25,-,-1.25,-,-,1.0
Transaction History,Data,2021-08-05,U***132,SLV 20AUG21 21.0 C,Buy,SLV   210820C00021000,1.0,2.46,USD,-246.0,-1.543,-247.543,-,-,100.0
Transaction History,Data,2021-08-05,U***132,SLV 21JAN22 22.0 C,Sell,SLV   220121C00022000,-1.0,2.5,USD,250.0,-1.546275,248.453725,-,-,100.0
Transaction History,Data,2021-08-05,U***132,SLV 17JUN22 23.0 C,Sell,SLV   220617C00023000,-1.0,2.68,USD,268.0,-1.0563668,266.9436332,-,-,100.0
Transaction History,Data,2021-08-05,U***132,SLV 30SEP21 20.0 C,Buy,SLV   210930C00020000,1.0,3.4,USD,-340.0,-1.053,-341.053,-,-,100.0
Transaction History,Data,2021-08-04,U***638,K*****70:OPRA NP L1 for Aug 2021,Other Fee,-,-,-,-,-1.5,-,-1.5,-,-,1.0
Transaction History,Data,2021-08-04,U***638,Sell -100 ADVANCED MICRO DEVICES (Assignment),Assignment,AMD,-100.0,55.0,USD,5500.0,-0.03995,5499.96005,-,-,1.0
Transaction History,Data,2021-08-03,U***2030,XOM 20AUG21 62.5 C,Buy,XOM   210820C00062500,3.0,0.08,USD,-24.0,-1.659,-25.659,-,-,100.0
Transaction History,Data,2021-08-03,U***638,K*****70:OPRA NP L1 for Jul 2021,Other Fee,-,-,-,-,1.5,-,1.5,-,-,1.0
Transaction History,Data,2021-08-03,U***638,K*****70:US Consolidated Snapshot for Jul 2021,Other Fee,-,-,-,-,-0.01,-,-0.01,-,-,1.0
Transaction History,Data,2021-08-03,U***638,K*****70:US Consolidated Snapshot for Jul 2021,Other Fee,-,-,-,-,0.01,-,0.01,-,-,1.0
Transaction History,Data,2021-08-03,U***638,Sell -100 ADVANCED MICRO DEVICES (Assignment),Assignment,AMD,-100.0,45.0,USD,4500.0,-0.03485,4499.96515,-,-,1.0
Transaction History,Data,2021-08-02,U***638,SLV 30SEP21 22.0 C,Buy,SLV   210930C00022000,1.0,1.98,USD,-198.0,-1.423,-199.423,-,-,100.0
Transaction History,Data,2021-08-02,U***638,SLV 30SEP21 25.0 C,Buy,SLV   210930C00025000,1.0,0.54,USD,-54.0,-1.043,-55.043,-,-,100.0
Transaction History,Data,2021-08-02,U***638,SLV 30SEP21 25.5 C,Buy,SLV   210930C00025500,1.0,0.44,USD,-44.0,-1.043,-45.043,-,-,100.0
Transaction History,Data,2021-07-29,U***638,ORCL(US68389X1054) Cash Dividend USD 0.32 per Share (Ordinary Dividend),Dividend,ORCL,-,-,-,96.0,-,96.0,-,-,1.0
Transaction History,Data,2021-07-29,U***2030,ORCL(US68389X1054) Cash Dividend USD 0.32 per Share (Ordinary Dividend),Dividend,ORCL,-,-,-,64.0,-,64.0,-,-,1.0
Transaction History,Data,2021-07-29,U***132,ORCL(US68389X1054) Cash Dividend USD 0.32 per Share (Ordinary Dividend),Dividend,ORCL,-,-,-,128.0,-,128.0,-,-,1.0
Transaction History,Data,2021-07-26,U***2030,MSFT 17SEP21 185.0 P,Buy,MSFT  210917P00185000,1.0,0.29,USD,-29.0,-1.0578,-30.0578,-,-,100.0
Transaction History,Data,2021-07-16,U***638,SLV 31DEC21 24.0 C,Sell,SLV   211231C00024000,-1.0,1.76,USD,176.0,-0.7106976,175.2893024,-,-,100.0
Transaction History,Data,2021-07-16,U***638,SLV 30SEP21 20.0 C,Buy,SLV   210930C00020000,1.0,4.04,USD,-404.0,-0.7078,-404.7078,-,-,100.0
Transaction History,Data,2021-07-16,U***638,AUY 20AUG21 4.0 C,Sell,AUY   210820C00004000,-1.0,0.33,USD,33.0,-0.6399683,32.3600317,-,-,100.0
